 0003401010豊 通 ﾆｭｰﾊﾟｯｸ/ﾚﾝｺﾞｰ(株 089501001160407000016033101    011101000110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037562260ﾛｯﾄ形 成 か ん ば ん  GK26030104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037662270ﾛｯﾄ形 成 か ん ば ん  GK27031104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037762280ﾛｯﾄ形 成 か ん ば ん  GK28032104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0043062290ﾛｯﾄ形 成 か ん ば ん  GK29051104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0060362300ﾛｯﾄ形 成 か ん ば ん  GK30029104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014563010ﾛｯﾄ形 成 か ん ば ん  RM01041104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0040363020ﾛｯﾄ形 成 か ん ば ん  RT02107104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014663030ﾛｯﾄ形 成 か ん ば ん  RM03042104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014963300ﾛｯﾄ形 成 か ん ば ん  RK30033104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0015163310ﾛｯﾄ形 成 か ん ば ん  RK31034104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0015463320ﾛｯﾄ形 成 か ん ば ん  RK32037104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0009363330ﾛｯﾄ形 成 か ん ば ん  RK33035104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037463340ﾛｯﾄ形 成 か ん ば ん  RK34036104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014763350ﾛｯﾄ形 成 か ん ば ん  RK35038104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0023763360ﾛｯﾄ形 成 か ん ば ん  RK36039104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0001863370ﾛｯﾄ形 成 か ん ば ん  RK37042104004000000000022053103    010100010110000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014163500ﾛｯﾄ形 成 か ん ば ん  RK50040104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0060263510ﾛｯﾄ形 成 か ん ば ん  GN01091104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0011965010ﾛｯﾄ形 成 か ん ば ん  FG01007104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0012265020ﾛｯﾄ形 成 か ん ば ん  FG02008104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014265030ﾛｯﾄ形 成 か ん ば ん  FG03009104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038965040ﾛｯﾄ形 成 か ん ば ん  FG04011104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0012765050ﾛｯﾄ形 成 か ん ば ん  FG05010104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0037965070ﾛｯﾄ形 成 か ん ば ん  FG07102104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038065080ﾛｯﾄ形 成 か ん ば ん  FG08101104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038165090ﾛｯﾄ形 成 か ん ば ん  FG09015104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038265100ﾛｯﾄ形 成 か ん ば ん  FG10016104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038365110ﾛｯﾄ形 成 か ん ば ん  FG11012104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039065120ﾛｯﾄ形 成 か ん ば ん  FG12105104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038666020ﾛｯﾄ形 成 か ん ば ん  FAG2095104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0038766030ﾛｯﾄ形 成 か ん ば ん  FAG3100104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0046766040ﾛｯﾄ形 成 か ん ば ん  BMH1000104004000000000022053103    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0042767010ﾛｯﾄ形 成 か ん ば ん  FGW1111104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039168010ﾛｯﾄ形 成 か ん ば ん  FF01096104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039268040ﾛｯﾄ形 成 か ん ば ん  FF04097104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039368100ﾛｯﾄ形 成 か ん ば ん  FF10098104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039769000ﾛｯﾄ形 成 か ん ば ん  FB01106104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0014369010ﾛｯﾄ形 成 か ん ば ん  FS01017104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039469080ﾛｯﾄ形 成 か ん ば ん  FS08108104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039569100ﾛｯﾄ形 成 か ん ば ん  FS10099104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039669110ﾛｯﾄ形 成 か ん ば ん  FS11107104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059669120ﾛｯﾄ形 成 か ん ば ん  FS12107104004000000000000000000    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039870010ﾛｯﾄ形 成 か ん ば ん  FM01103104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0039970020ﾛｯﾄ形 成 か ん ば ん  FM02104104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045471000ﾛｯﾄ形 成 か ん ば ん  BRA1109104004000000000022053103    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0047371010工 程 内 FRC 3         100104004000000000000000000    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0047471020工 程 内 FRC 4         058104004000000000022053001    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0051471030ﾛｯﾄ形 成 か ん ば ん  BRA2109104004000000000022053103    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0012874052津 田 工 業 (株 ) ﾄﾖﾀ支 給 000101003000000000000000000    010110000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0044175011１ 係 　 Ｇ Ｇ           057101001000000000022053001    010000001000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0043275012１ 係 　 Ｇ Ｋ           062101001000000000022053001    010000001000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0042975021２ 係 　 Ｓ             048101001000000000022053001    011101000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0043375031３ 係 　 Ｒ Ｋ           052101001000000000022053001    010000001000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0043475041４ 係 　 Ｂ             053101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0043575042４ 係 　 Ｃ             044101001000000000022053001    011101000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0043675043４ 係 　 Ｆ Ｒ Ｃ         058101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0043775051５ 係 　 Ｐ             068101001000000000000000000    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0002076151高 木 運 輸 　 音 羽 事 業 所 092101001000000000015032501    011101000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0010176156（ 株 ） 高 木 運 輸       000101001000000000000000000    011101000111000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 004967615Q(株 ） 高 木 運 輸        000101001000000000000000000    011101000111000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045177010豊 田 鉄 工 ㈱ 　 本 社     078101003000000000022053101    021001010000000050505050500001130000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045277011豊 田 鉄 工 ㈱ -㈱ ﾒｲﾄﾞｰ  078101005000000000000000000    020100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0021378920ア ス モ 　 株 式 会 社     000101001000000000000000000    011001000101000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041380011１ 係 　 Ｇ Ｇ           057101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041480012１ 係 　 Ｇ Ｋ           062101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041580021２ 係 　 Ｓ             048101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041680031３ 係 　 Ｒ Ｋ           052101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041780041４ 係 　 Ｂ             053101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041880042４ 係 　 Ｃ             044101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0041980043４ 係 　 Ｆ Ｒ Ｃ         058101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0042080051５ 係 　 Ｐ             068101001000000000022053001    011001000000000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 001108006QＨ 票 (生 産 技 術 ）      000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 001208008QＨ 票 (調 達 課 ）        000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027180980ト ヨ タ               000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027280990機 能 品               000101001000000000000000000    010000000000000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027390020工 程 内 　 Ｂ Ｗ ０ ３     043101001000000000022053001    010010000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027490030工 程 内 　 Ｓ Ｗ １ １     045101001000000000022053001    010010000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027590040工 程 内 　 Ｓ Ｗ ０ ７     045101001000000000022053001    010010000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027690050工 程 内 　 Ｓ Ｗ １ ２     045101001000000000022053001    010010000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027790060工 程 内 　 Ｓ Ｗ １ ４     045101001000000000022053001    010010000100000050505050500101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027890070工 程 内 　 Ｂ Ｗ ０ ６     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0027990080工 程 内 　 Ｓ Ｗ ３ １     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028090090工 程 内 　 Ｂ Ｗ ０ ８     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028190110工 程 内 　 Ｓ Ｗ ０ １     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028290120工 程 内 　 Ｓ Ｗ ０ ３     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028390130工 程 内 　 Ｓ Ｗ ０ ５     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028490140工 程 内 　 Ｓ Ｗ ０ ９     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028590150工 程 内 　 Ｓ Ｗ １ ７     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028690160工 程 内 　 Ｓ Ｊ ０ ６     045101001000000000000000000    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028790170工 程 内 　 Ｓ Ｗ ０ ２     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028890180工 程 内 　 Ｓ Ｗ ０ ８     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0028990190工 程 内 　 Ｓ Ｗ １ ５     045101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029090200工 程 内 　 Ｓ Ｗ １ ３     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029190220工 程 内 　 Ｓ Ｗ ０ ４     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054590230工 程 内 　 Ｓ Ｗ 51      045101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054690240工 程 内 　 Ｓ Ｗ 52      045101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054790250工 程 内 　 Ｓ Ｗ 53      045101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054890260工 程 内 　 Ｓ Ｗ 54      045101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054990270工 程 内 　 Ｓ Ｗ 55      045101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055090280工 程 内 　 Ｓ Ｗ 56      045101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029290290工 程 内 　 Ｓ Ｗ ２ ７     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029390300工 程 内 　 Ｂ Ｗ ０ ２     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029490400工 程 内 　 Ｂ Ｗ ０ ７     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029590440工 程 内 　 Ｓ Ｗ ２ ８     045101001000000000000000000    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029690450工 程 内 　 Ｓ Ｊ ０ ９     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029790470工 程 内 　 Ｓ Ｗ ２ １     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029890480工 程 内 　 Ｂ Ｗ １ ３     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0029990500工 程 内 　 Ｓ Ｗ ２ ０     045101001000000000000000000    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030090600工 程 内 　 Ｂ Ｒ ０ ４     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030190660工 程 内 　 Ｓ Ｗ １ ６     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030290670工 程 内 　 Ｂ Ｗ １ ６     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030390710工 程 内 　 Ｂ Ｗ １ ７     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030490720工 程 内 　 SW          045101001000000000000000000    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030590730工 程 内 　 SW11→ SW03  045101001000000000000000000    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030690740工 程 内 　 Ｓ Ｗ ３ ０     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030790750工 程 内 　 Ｂ Ｗ ０ ５     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030890760工 程 内 　 Ｓ Ｊ ０ ５     045101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0030990780工 程 内 　 Ｂ Ｗ １ ５     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031090800工 程 内 　 Ｓ ラ イ ン     045101001000000000000000000    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031190830工 程 内 　 Ｂ Ｒ １ ０     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045390850工 程 内 　 Ｂ Ｍ Ａ １     044101001000000000000000000    010001000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031290860工 程 内 　 Ｂ Ｗ Ｍ １     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0047090890工 程 内  Ｐ            068101001000000000000000000    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031590930工 程 内 　 Ｒ Ｋ ５ ０     052101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031690940工 程 内 　 Ｂ Ｗ ２ ０     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031790950工 程 内 　 Ｂ Ｗ １ １     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031890960工 程 内 　 Ｂ Ｗ １ ９     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0031990970工 程 内 　 Ｂ Ａ ０ ４     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032090980工 程 内 　 Ｂ Ａ ０ ７     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0032190981工 程 内 　 Ｂ Ａ ０ ８     043101001000000000022053001    010010000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045691010工 程 内 　 BMA１        044101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045791020工 程 内  BMA２         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045891030工 程 内  BRA１         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0046591040工 程 内 　 Ｂ Ｍ Ｈ 1     044101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0051891050ﾛｯﾄ形 成 か ん ば ん  MH01044104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0051991060ﾛｯﾄ形 成 か ん ば ん  MH02044104004000000000022053103    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0052091070ﾛｯﾄ形 成 か ん ば ん  MH03044104004000000000022053004    010100010100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0052591080工 程 内 　 Ｗ Ｈ 01      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0052691090工 程 内 　 Ｗ Ｈ 02      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0052791100工 程 内 　 Ｗ Ｈ 03      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0053191110工 程 内 　 Ｗ Ｈ 04      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0053291120工 程 内 　 Ｗ Ｈ 05      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0053391130工 程 内 　 Ｗ Ｈ 06      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0053491140工 程 内 　 Ｗ Ｈ 07      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0053591150工 程 内 　 Ｗ Ｈ 08      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0053991160工 程 内 　 Ｗ Ｈ 09      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054091170工 程 内 　 Ｗ Ｈ 10      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054191180工 程 内 　 Ｗ Ｈ 11      043102001000000000022053002    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054291190工 程 内 　 Ｗ Ｈ 12      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054391200工 程 内 　 Ｗ Ｈ 13      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0054491210工 程 内 　 Ｗ Ｈ 14      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055291220工 程 内 　 Ｗ Ｈ 15      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055391230工 程 内 　 Ｗ Ｈ 16      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055491240工 程 内 　 Ｗ Ｈ 17      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055591250工 程 内 　 Ｗ Ｈ 18      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055691260工 程 内 　 Ｗ Ｈ 19      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0055791270工 程 内 　 Ｗ Ｈ 20      043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0057191280工 程 内 　 CWH1        043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0059591290工 程 内  WH15         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0060191300工 程 内  WT21         043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045592010工 程 内 　 Ｒ Ｋ ３ ３     052101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0045992020工 程 内 　 Ｒ Ｋ ３ ０     052101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
 0052293010工 程 内 　 Ｂ Ｗ Ｒ ６     043101001000000000022053001    010100000100000050505050500001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000                                                           
